,Image name,Confiner_height,Condition,Number of total HP1a condensates,Volume nucleus (um3),Sphericity,Major axis nucleus (um),Intermediate axis nucleus (um),Minor axis nucleus (um),Flatness nucleus (um),Elongation nucleus (um),Condensate volume fraction
22,2022-06-03_Image5,Non-confined,Non-Confined,8,1499.6967102086371,0.4083935244559475,20.70590581638134,14.589156708563978,11.15283376898541,0.26608545049235943,0.16060190835910237,0.007248012717603056
23,2022-06-08_Image1,5-8,Confined,4,884.5237052105687,0.1960742225705565,11.549228288816638,9.104883079160285,7.232772006203988,0.20863670183344674,0.11210685381478225,0.005304665394793296
24,2022-06-08_Image10,5-8,Confined,7,668.7824265691007,0.1969519353823482,12.846877281347597,7.19587011637818,5.754172968177496,0.33074339123493013,0.2515843332097205,0.006095129699343127
25,2022-06-08_Image11,<5,Confined,7,727.3466003418275,0.3189030062882466,10.650757986372408,9.886026685326966,4.915320085728073,0.320662413544475,0.03656896756452932,0.005056579383907159
26,2022-06-08_Image12,5-8,Confined,8,1076.183319739231,0.2506147362305244,12.96288597927558,10.703959633045445,5.896030893123404,0.3255821991735548,0.09129821575773112,0.004375807594757057
27,2022-06-08_Image13,5-8,Confined,7,1101.9239282383485,0.3355746818933438,12.890468465418117,11.922845288003192,5.075317752290065,0.3725237847495927,0.038264595937088974,0.002141789772783671
28,2022-06-08_Image14_nr1,5-8,Confined,8,1292.7258560041375,0.3563824698648573,15.263153086635263,11.336388904647546,5.01795371337148,0.4266217755845305,0.13818263987937662,0.0033757055371676182
29,2022-06-08_Image14_nr2,5-8,Confined,3,1110.4118444736584,0.3141926536360701,15.386319950391576,9.483964344370303,5.4749371894057255,0.4034838708556008,0.21489530097737353,0.0017322899137764143
30,2022-06-08_Image2,5-8,Confined,7,1087.623699047484,0.3193449693513679,14.181685948825244,9.9485608118873,5.5049709094559205,0.376963367807126,0.16243948049608714,0.003884762765123565
31,2022-06-08_Image3_nr1,<5,Confined,4,475.20564814653113,0.2598631662568082,12.170709151023116,6.897649848639304,4.333261547663993,0.4033089695514567,0.2471774316067672,0.0016767814735037631
32,2022-06-08_Image3_nr2,<5,Confined,5,813.7443849700633,0.2085839532717143,13.861001985645364,12.554566069464382,3.50673297621434,0.49701615577133695,0.04829239352344594,0.00289575141371321
33,2022-06-08_Image4,<5,Confined,4,500.27442591108405,0.3940720005516601,10.972050691329402,6.778192688416427,4.686390417259222,0.3464552497287605,0.2140171812748608,0.004454316470131204
34,2022-06-08_Image5,5-8,Confined,7,1499.3574321057797,0.3317245524097414,14.44619528662932,13.335687249309888,5.478981719625464,0.38415249684441044,0.03920450034314493,0.002516181933150744
35,2022-06-08_Image6,5-8,Confined,7,965.7686859044308,0.2701761216449977,12.277514358218149,9.593458732602464,6.203620254069852,0.2891673342271016,0.11604047368028036,0.0059331308885025805
36,2022-06-08_Image7,5-8,Confined,10,1018.9404308614112,0.3581673523470962,12.26874229176931,10.622216480221,5.381663865324745,0.33769465149880107,0.06951890887293821,0.004426067762287549
37,2022-06-08_Image8,<5,Confined,9,677.1182440970389,0.3673041789897105,13.298710598639987,7.513196141077676,4.632566547716857,0.4097906764296101,0.24836396000376626,0.006067494980779324
38,2022-06-08_Image9,<5,Confined,9,945.391072512102,0.3101270921411458,12.965547325541394,10.971173299261851,4.598219236029109,0.40447580654893067,0.0801201404796652,0.007259328147055826
