,index,Image name,Cell line,Condition,Number of voxels nucleus,Number of total HP1a condensates,Physical pixel size Z,Physical pixel size Y,Physical pixel size X,Pixel size (um2),Voxel size (um3),Major axis nucleus (um),Intermediate axis nucleus (um),Minor axis nucleus (um),Volume nucleus (um3)
16,0,2023-04-28_Image1_NC,IMR90,Non-Confined,881243.0,7,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,19.955584498351563,12.18716098553047,7.600000000000001,944.786951844322
3,9,2023-04-28_Image20_conf_10m,IMR90,Confined_15m,1084864.0,7,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,21.434497543061184,16.17261010362064,5.800000000000001,1163.0904889180836
4,16,2023-04-28_Image21_conf_10m,IMR90,Confined_15m,1267828.0,7,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,22.177185973098247,16.48497558105604,6.6000000000000005,1359.2475078756747
5,23,2023-04-28_Image22_conf_10m,IMR90,Confined_15m,1004079.0,6,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,23.825784429390225,14.773235574758116,6.2,1076.4803099949677
6,29,2023-04-28_Image23_conf_10m,IMR90,Confined_15m,876180.0,1,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,19.16134621974726,13.97972021032396,5.6000000000000005,939.3588731677394
7,30,2023-04-28_Image24_conf_10m,IMR90,Confined_15m,943540.0,2,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,21.628903192988588,15.510490535866955,6.200000000000001,1011.5760131350736
24,0,2023-04-28_Image25_lidremoved,IMR90,Recovery,1027207.0,5,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,20.729062009425625,15.52304783589618,7.200000000000001,1101.2760049647493
25,5,2023-04-28_Image26_lidremoved,IMR90,Recovery,1169010.0,6,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,21.96454718738878,15.462424544136509,7.200000000000001,1253.3040200892726
26,11,2023-04-28_Image27_lidremoved,IMR90,Recovery,1389473.0,16,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,23.50392230174768,18.432038944048152,5.6,1489.6639863692374
27,27,2023-04-28_Image28_lidremoved,IMR90,Recovery,574858.0,6,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,16.75128987696903,14.28063811182253,6.800000000000001,616.3093920329844
28,33,2023-04-28_Image29_lidremoved,IMR90,Recovery,774096.0,3,0.2,0.0732156808610087,0.0732156808610087,0.005360535923941,0.0010721071847882,21.00384432506514,13.00880284791058,6.2,829.913883315819
