,Image_name_x,Condition,Number of total aggregates,Voxel size (um3),z_length_x,x_length_x,y_length_x,Volume_nucleus (nm^3)_SITK,Flatness_nucleus_SITK,Sphericity_x,Volume_nucleus_um3,Elongation_x,Surface_area_nucleus_um3,M1 perc,M2 perc
21,2023-02-17_Z_stack12_IMR90,Confined,20,0.0028166668075,11.27999999999999,26.522150647297508,13.44574727814993,381955.0,3.2282240783495357,0.1959674231814805,1075.8399704586625,0.4857326770859147,1522.5135613317038,0.0,0.0
22,2023-02-17_Z_stack11_IMR90,Confined,8,0.0117361116979166,38.0,21.78264756547557,14.377574325759204,266417.0,4.703680188898673,0.1406998526693178,3126.6996702238466,0.6400417379260988,1662.9520473829482,0.0,0.0
23,2023-02-17_Z_stack10_IMR90,Confined,13,0.0028166668075,6.719999999999999,19.773903783094745,15.488429264809898,171300.0,8.406133385388536,0.1350637626172828,482.49502412475,0.7206945964410815,1289.6120779865055,7.17409128177097,14.17004048582996
24,2023-02-17_Z_stack9_IMR90,Confined,2,0.0028166668075,7.92,16.54846837038845,10.403937870045574,151123.0,3.3747503861161867,0.1672402104249869,425.6631379498225,0.5509556085597025,963.3491339413991,0.0,0.0
25,2023-02-17_Z_stack8_IMR90,Confined,6,0.0028166668075,7.679999999999999,16.921208320004528,9.747473673740274,167653.0,3.539634421618353,0.1681018771102632,472.2226402777975,0.572104697110164,1024.8917674056777,0.0,0.0
26,2023-02-17_Z_stack3_IMR90,Confined,2,0.0117361116979166,41.0,16.969339106507462,9.83681704509225,219071.0,2.9893930572983862,0.4272622260977625,2571.0417257742874,0.4925117220860783,482.81519155931824,44.485444854448545,23.76779846659364
27,2023-02-17_Z_stack6_IMR90,Confined,5,0.0028166668075,9.36,15.086610780235317,9.727592841724112,192896.0,2.587126376414402,0.2773434237852482,543.32376049952,0.574083288795606,682.5527165711112,0.0,0.0
28,2023-02-17_Z_stack5_IMR90,Confined,4,0.0028166668075,14.16,22.55465616554969,11.156862558825097,230702.0,2.4466588413184622,0.2010741007858572,649.810665823865,0.56932644086361,1067.546860456531,0.0,0.0
29,2023-02-17_Z_stack4_IMR90,Confined,3,0.0028166668075,9.36,14.402949017307392,8.59945287301946,213500.0,2.17390335782098,0.4202703684758418,601.35836340125,0.5845879223715219,484.0561538255225,0.0,0.0
30,2023-02-17_Z_stack2_IMR90,Confined,8,0.0028166668075,11.28,17.42716930236894,9.844716986191926,196750.0,2.262171691575438,0.2043532045473992,554.179194375625,0.555535505998918,935.2839205829371,8.11943425877422,13.17467063323417
31,2023-02-17_Z_stack1_IMR90,Confined,8,0.0028166668075,8.639999999999997,21.000051329925,12.371364775701718,293538.0,4.507857670046639,0.2446143324398788,826.798741339935,0.5849055209083025,1027.8377266509297,19.83815595880333,11.97808705952028
32,2023-01-23_Z_stack2_IMR90,Confined,6,0.0028166668075,7.679999999999999,21.745382761029724,14.18205395625823,256487.0,5.922325247869086,0.1975635542473449,722.4384194552524,0.6352580303864079,1157.9755683144517,0.9728227300802901,2.55164034021871
33,2023-02-17_Z_stack14_IMR90,Confined,8,0.0028166668075,10.080000000000014,19.66017468111715,12.26989659774426,379007.0,2.748352747215902,0.2727016937407802,1067.5364367101524,0.6731347171627662,1088.579366211438,6.281935677787789,9.29715302491103
