,Condensate ID,x_corr,y_corr,frame,area_cond,Frames visible,t,Condition,Video
78,15,-7.040564082383329,3.381701791653592,16,109,18,10,Non-Confined,8104
79,15,-7.982107637135177,2.7108833794667633,17,126,18,11,Non-Confined,8104
80,15,-8.669987610580792,1.7702482824829295,18,141,18,12,Non-Confined,8104
81,15,-7.381107494956896,3.385990980907077,19,143,18,13,Non-Confined,8104
82,15,-6.801042122394337,2.224621160389986,20,58,18,14,Non-Confined,8104
83,15,-7.969175686175754,3.429955483997111,21,141,18,15,Non-Confined,8104
84,15,-7.008629374662032,4.2683516684501335,22,97,18,16,Non-Confined,8104
85,15,-7.791073028685671,4.4834338473131545,23,96,18,17,Non-Confined,8104
86,16,-2.4234281376274613,2.598866935683069,0,180,10,0,Non-Confined,8104
87,16,-2.7985668098932868,1.9902622144283832,4,263,10,1,Non-Confined,8104
88,16,-3.6146916797294555,1.6933854624471085,6,89,10,2,Non-Confined,8104
89,16,-3.9153946874313394,1.3900549505138697,7,108,10,3,Non-Confined,8104
90,16,-4.03721111494819,1.6221249635178985,8,86,10,4,Non-Confined,8104
91,16,-4.228781783287156,1.7206277272833037,9,139,10,5,Non-Confined,8104
92,16,-3.810195406411364,1.5946720843001632,10,118,10,6,Non-Confined,8104
93,16,-3.083107798059733,1.784470818862881,11,67,10,7,Non-Confined,8104
94,16,-3.7676229008243824,1.2795048966147557,12,66,10,8,Non-Confined,8104
95,16,-4.266098124779748,1.5645907748233148,13,65,10,9,Non-Confined,8104
96,17,-6.354222096860337,-4.543699805769664,8,189,15,0,Non-Confined,8104
97,17,-6.1858714289538,-4.666539811209264,9,107,15,1,Non-Confined,8104
98,17,-6.059090233997571,-4.913662310790425,10,261,15,2,Non-Confined,8104
99,17,-5.880336708069769,-4.782172717876015,12,266,15,3,Non-Confined,8104
100,17,-6.250901118020818,-4.678658861481804,13,239,15,4,Non-Confined,8104
101,17,-6.430216187466284,-4.349887137809476,14,221,15,5,Non-Confined,8104
102,17,-6.902098976438326,-3.40467694618744,15,323,15,6,Non-Confined,8104
103,17,-7.222673310165173,-2.5702782584392767,16,326,15,7,Non-Confined,8104
104,17,-7.053551045052561,-3.1677617151976105,17,415,15,8,Non-Confined,8104
105,17,-6.476402504197814,-4.164224057942604,18,339,15,9,Non-Confined,8104
106,17,-7.15151204041144,-2.938673868948949,19,442,15,10,Non-Confined,8104
107,17,-5.7735320169339905,-5.129160977263521,20,497,15,11,Non-Confined,8104
108,17,-6.2778590649343275,-4.879318302709415,21,484,15,12,Non-Confined,8104
109,17,-6.491532055074404,-4.421860908869456,22,485,15,13,Non-Confined,8104
110,17,-6.5786253526928915,-4.386430017759046,23,554,15,14,Non-Confined,8104
111,18,5.3251352317027845,2.3852103529350748,14,143,10,0,Non-Confined,8104
112,18,5.992124776671069,1.4351982502190803,15,173,10,1,Non-Confined,8104
113,18,6.193729681743781,1.062969136421575,16,207,10,2,Non-Confined,8104
114,18,6.281172540581842,1.6403338921120099,17,209,10,3,Non-Confined,8104
115,18,6.324117118443697,2.6993849986611713,18,265,10,4,Non-Confined,8104
116,18,6.741115641062016,1.7207899590416182,19,284,10,5,Non-Confined,8104
117,18,5.812734160777441,3.805884047725122,20,217,10,6,Non-Confined,8104
118,18,6.254639207441265,3.2326262286779603,21,188,10,7,Non-Confined,8104
119,18,6.598613095710837,2.820941865000858,22,214,10,8,Non-Confined,8104
120,18,6.760756221314329,2.901419722313153,23,150,10,9,Non-Confined,8104
0,19,0.030877493069722286,0.39214547640051306,0,359,22,0,Non-Confined,8104
1,19,0.5550350689392063,0.7346478328603778,1,369,22,1,Non-Confined,8104
2,19,-0.02870350441549913,0.8788464814351243,2,341,22,2,Non-Confined,8104
3,19,-0.06127370385853863,0.809439658102634,3,369,22,3,Non-Confined,8104
4,19,-0.21176605210111576,1.2531671279231682,4,376,22,4,Non-Confined,8104
5,19,-0.5389783729301794,0.6829931431633192,5,398,22,5,Non-Confined,8104
