,Image name,Confiner_height,Condition,Number of total HP1a condensates,Volume nucleus (um3),Sphericity,Major axis nucleus (um),Intermediate axis nucleus (um),Minor axis nucleus (um),Flatness nucleus (um),Elongation nucleus (um),Condensate volume fraction
15,2022-06-23_Image4,Non-confined,Non-Confined,16,876.4909300051387,0.276892612422332,31.835557962854697,11.531725026562164,5.990737788546676,0.56620561859853,0.39814633971958613,0.011221225137978647
16,2022-06-23_Image5,Non-confined,Non-Confined,8,809.1276875787984,0.213875025770829,29.50617385485248,13.093145920503927,5.350444285319618,0.5741678232443409,0.33385993435544303,0.016667990630213105
17,2022-06-23_Image6,Non-confined,Non-Confined,21,1507.1915586671832,0.3592622935417972,23.62288835608606,13.975055875132568,9.029247536041254,0.3817568958775489,0.2308513577091299,0.030317464514220436
18,2022-06-23_Image7,Non-confined,Non-Confined,11,1047.5081474279482,0.2297910385537264,24.30551119640191,18.43608170849336,5.277148538505006,0.5340414560349059,0.1290726434755044,0.007556021647515258
19,2021-12-22_Image1,3-5,Confined,7,514.2488124566889,0.2380182624393826,19.3292518840932,8.036725091187376,3.1939158242279166,0.5935059338520673,0.3551895997192134,0.00941292899872472
20,2022-01-28_Image2,3-5,Confined,7,402.6084954373095,0.3290655342908996,12.2694098954797,6.561310967058232,3.7255114945019576,0.44896254953430037,0.2687203756897798,0.013500655894523442
21,2022-01-28_Image4,3-5,Confined,11,487.1797533569749,0.3260832185673649,11.62251500888529,9.62391893176152,3.3258092116739584,0.4650679635124124,0.09003241904443704,0.0119011577264924
22,2022-01-28_Image5,<3,Confined,9,371.0367308777459,0.2701550699158438,14.515933459632588,7.571267426813467,2.4154798266179784,0.5920760324687632,0.2777928083365919,0.011704608735058141
23,2022-01-28_Image6,3-5,Confined,2,312.9489882298227,0.3163201695741929,10.247949103251564,6.3648544539853225,3.468842230812685,0.4181998967340631,0.2119101056233741,0.00017920268842570853
24,2022-02-09_Image3,<3,Confined,8,325.9417784941067,0.3665978999109648,11.463124250577966,8.046418932087708,2.520901894419594,0.5310500731999781,0.16218174250989925,0.004048791438473784
25,2022-02-18_Image1,3-5,Confined,3,301.2098894128182,0.367853156369486,9.653872209268236,7.178731483615676,3.36099125901532,0.4099580105304663,0.13767082107074813,0.0055559678851288844
26,2022-02-18_Image2,3-5,Confined,2,1134.7078778161324,0.2643026839798438,19.541308805484697,6.535769840513467,4.877460174468207,0.5004027466469415,0.4216755532245555,0.00044548502122128625
27,2022-03-10_Image2,3-5,Confined,4,767.9592660129739,0.2838288422800235,17.408511740979247,8.222673061899926,4.064970705587511,0.5167766768051973,0.31273268693584033,0.009282628071510349
28,2022-03-10_Image5,3-5,Confined,8,979.972418040368,0.2599928462739387,19.417963796800063,8.411044113526556,4.971385706696157,0.49401588098348226,0.3418526880770757,0.016892562078512512
29,2022-03-31_Image1,<3,Confined,12,548.3521919929804,0.2540656125738059,17.988943981086695,7.521515861313045,2.9435541735931,0.5954863493396858,0.3533789281197973,0.00012617666141677793
30,2022-03-31_Image2,3-5,Confined,4,571.6061550383002,0.2865808294721278,13.2635165874621,7.969754483037182,4.144147424837138,0.44103031397218706,0.22483683208354643,0.01616991122121547
31,2022-03-31_Image3,<3,Confined,3,732.0439193417113,0.2657708879912729,16.987498157330265,11.590022385431574,2.8926793392028243,0.587346592632046,0.17400498542748755,0.013010367251212622
32,2022-03-31_Image4,3-5,Confined,6,463.7020285366912,0.3399282690721715,15.64399290198811,5.982879802565914,3.724656310833847,0.5120567693702389,0.38158312220364776,0.018102065534060036
33,2022-03-31_Image5,<3,Confined,11,325.9346128258322,0.200309775584398,16.631490194430036,9.639799961581003,1.5557616319417291,0.6941517877227059,0.23867791403228755,0.01749388522017316
34,2022-03-31_Image6,3-5,Confined,8,1221.2189081907673,0.3266013654241759,16.750871853572427,10.706227138820328,4.662340494835116,0.4724261201531147,0.20053488409560327,0.010940328529634507
35,2022-04-06_Image1,3-5,Confined,3,400.0849803044741,0.3399012460190757,11.913561983727243,6.415181543148609,3.655199653109741,0.4460956987956495,0.2661899403089799,0.0005243817459004477
36,2022-04-06_Image2,3-5,Confined,13,582.6209994750503,0.3373192636910991,12.916933387206669,9.6055532932622,3.857558413744166,0.45351713946772143,0.13765413948001926,0.019397834404461228
37,2022-04-13_Image1,<3,Confined,8,821.4910859828249,0.2792717643680251,15.074564558437036,12.52359021318536,2.998558573811703,0.554001004714828,0.0885307191517879,0.0024488190293764428
38,2022-05-05_Image2,<3,Confined,6,438.6956209530546,0.216949296550681,14.351678720088833,10.071229081125072,2.55463502840933,0.5780965472005094,0.16229735733641049,0.0019093428995930434
39,2022-05-05_Image3,<3,Confined,14,194.10165296874004,0.2568681062738234,10.880209938474186,7.077047686996974,1.8536241277861,0.5872451365227118,0.1934943330456672,0.003282843122285842
40,2022-05-05_Image4,<3,Confined,15,468.80644393507,0.2948859308879319,16.31347828118278,7.218961829258903,2.9067055886581725,0.5778884474716537,0.3347818529680149,0.013938352289564287
41,2022-05-05_Image5,<3,Confined,5,197.72339327196195,0.3626361925218812,8.05026956809591,6.698179385338228,2.6284628289227485,0.4285928001993511,0.0878354803513891,0.003911411305792364
42,2022-05-05_Image6,<3,Confined,7,309.029921144327,0.3482566371572131,10.783364815932243,6.844596936256769,2.925375328945948,0.47914882514127577,0.20329638059996424,0.022731647709677685
43,2022-05-05_Image7,<3,Confined,9,191.8560485675769,0.3015935416459664,10.645334642455696,6.445774389623052,2.368283939930849,0.528331117059005,0.22185973033631212,0.024714729260797413
44,2022-05-13_Image2,<3,Confined,6,229.11845242959205,0.3111954431317522,12.28157169934158,5.159638699678384,2.571068153511909,0.5424592070348795,0.35183933447530846,0.0052676021131376075
45,2022-05-13_Image7,3-5,Confined,4,329.0947610520112,0.1379206475393803,10.009105291504817,6.607002550172392,4.806458326009531,0.30702915740801484,0.18753509894927056,0.004913651834110675
