,r_major_axis,Confiner height ($\mu$m),p_agg_min/z_length_x
252,0.3996642438625848,$<5.0$ -- $3.0$,0.234425638087622
253,0.1250761700296196,$<5.0$ -- $3.0$,0.1746028890354927
254,0.0869573652335166,$<5.0$ -- $3.0$,0.3320986161706048
255,0.0773467754516391,$<5.0$ -- $3.0$,0.2237466310279
256,0.042602067554889,$<5.0$ -- $3.0$,0.4541429352228884
257,0.2925787947078646,$<5.0$ -- $3.0$,0.515964894185186
258,0.0485145943888715,$<5.0$ -- $3.0$,0.3951869888390075
259,0.1953600319138149,$<5.0$ -- $3.0$,0.548132068142087
260,0.1136658173630499,$<5.0$ -- $3.0$,0.3963339261725341
261,0.2470903882035669,$<5.0$ -- $3.0$,0.4217883385395473
262,0.1841779018907487,$<5.0$ -- $3.0$,0.4789230671615788
263,0.1835719860745576,$<5.0$ -- $3.0$,0.498723497490841
264,0.3686863589554244,$<5.0$ -- $3.0$,0.5432881848555736
265,0.1379887344556806,$<5.0$ -- $3.0$,0.516139742251833
266,0.1883225614261475,$<5.0$ -- $3.0$,0.4000182006717098
267,0.0809212554949854,$<3.0$,0.3205282232578613
268,0.1181323972388505,$<3.0$,0.2286774479580602
269,0.163146905139812,$<3.0$,0.4386707413400027
270,0.164574828638484,$<3.0$,0.4945280740146227
271,0.2702563898681348,$<3.0$,0.3311193178405112
272,0.1186692706296846,$<3.0$,0.3670636714506204
273,0.1043581439137129,$<3.0$,0.3135980628666555
274,0.293790941621749,$<3.0$,0.1757804621972319
275,0.3217600991563005,$<5.0$ -- $3.0$,0.3414037349532329
276,0.2894748875832932,$<5.0$ -- $3.0$,0.2489558734490173
277,0.2809117302500235,$<5.0$ -- $3.0$,0.0044010146767812
278,0.2905787917169755,$<3.0$,0.1199847025843866
279,0.372567005594435,$<3.0$,0.0996784220650262
280,0.1300821090995038,$<3.0$,0.2164582463653358
281,0.4618725767145181,$<3.0$,0.0830627700435742
282,0.2764856789372525,$<3.0$,0.1054152225977051
283,0.1400905626802679,$<3.0$,0.3228539839228733
284,0.1679784832150029,$<3.0$,0.3197441433519079
285,0.3206738886813334,$<3.0$,0.1603266292523435
286,0.1167734592003569,$<3.0$,0.2694121725927317
287,0.2125217245592522,$<3.0$,0.1381939200539568
288,0.125722532838823,$<3.0$,0.2010807711103303
289,0.2337134814011526,$<3.0$,0.1380316417533459
290,0.0701165187076586,$<3.0$,0.302849481516682
291,0.1902303655732939,$<3.0$,0.4670781600131862
292,0.0533105840221419,$<3.0$,0.3844609534428898
293,0.1400340943771116,$<3.0$,0.4285961353511356
294,0.2356039395304431,$<3.0$,0.4275316905193574
